date,mtgox,btc-e,bitstamp,btcchina
2013-11-09 11:55:00 +0800,2221.38,1996.87,2010.45,2443.68
2013-11-09 12:55:00 +0800,2230.98,1997.02,2009.66,2502.16
2013-11-09 13:55:00 +0800,2122.13,1912.18,1910.05,2245.47
2013-11-09 14:55:00 +0800,2205.07,1981.08,1982.59,2335.81
2013-11-09 15:55:00 +0800,2197.56,1991.57,1981.43,2362.36
2013-11-09 16:55:00 +0800,2231.0,2006.33,1995.77,2420.88
2013-11-09 17:55:00 +0800,2294.99,2055.77,2060.7,2514.73
2013-11-09 18:55:00 +0800,2318.83,2054.36,2050.53,2467.74
2013-11-09 19:55:00 +0800,2316.49,2026.26,2071.67,2461.07
2013-11-09 20:55:00 +0800,2329.48,2031.32,2076.44,2449.57
2013-11-09 21:55:00 +0800,2347.22,2064.53,2118.6,2479.28
2013-11-09 22:55:00 +0800,2384.08,2095.88,2192.72,2508.9
2013-11-09 23:55:00 +0800,2295.3,2066.07,2145.18,2462.93
2013-11-10 00:55:00 +0800,2383.04,2104.6,2187.0,2485.98
2013-11-10 01:55:00 +0800,2349.54,2096.69,2151.0,2490.31
2013-11-10 02:55:00 +0800,2307.1,2071.55,2147.75,2475.85
2013-11-10 03:55:00 +0800,2291.21,2059.7,2130.66,2455.13
2013-11-10 04:55:00 +0800,2258.86,2037.87,2124.32,2441.65
2013-11-10 05:55:00 +0800,2304.83,2078.31,2134.27,2432.31
2013-11-10 06:55:00 +0800,2260.89,2047.62,2110.75,2440.6
2013-11-10 07:55:00 +0800,2201.3,2010.25,2039.31,2370.5
2013-11-10 08:55:00 +0800,2124.01,1934.49,1953.91,2246.5
2013-11-10 09:55:00 +0800,2049.6,1869.01,1897.29,2206.77
2013-11-10 10:55:00 +0800,2089.14,1888.25,1886.62,2247.37
2013-11-10 11:55:00 +0800,1932.15,1752.81,1778.58,2151.48
2013-11-10 12:55:00 +0800,1941.17,1766.45,1823.11,2103.45
2013-11-10 13:55:00 +0800,1973.3,1741.15,1827.57,2050.05
2013-11-10 14:55:00 +0800,1963.89,1729.07,1788.49,2057.24
2013-11-10 15:55:00 +0800,2085.51,1813.62,1854.46,2090.1
2013-11-10 16:55:00 +0800,2161.07,1899.68,1925.56,2233.93
2013-11-10 17:55:00 +0800,2078.34,1847.36,1881.34,2179.34
2013-11-10 18:55:00 +0800,1955.74,1752.51,1787.28,2093.67
2013-11-10 19:55:00 +0800,2074.09,1815.55,1852.8,2129.0
2013-11-10 20:55:00 +0800,2024.9,1797.54,1853.2,2108.58
2013-11-10 21:55:00 +0800,1969.96,1794.96,1834.94,2086.98
2013-11-10 22:55:00 +0800,1930.36,1716.71,1793.7,2022.95
2013-11-10 23:55:00 +0800,1826.05,1615.18,1657.06,1933.74
2013-11-11 00:55:00 +0800,1911.32,1643.4,1706.38,1955.62
2013-11-11 01:55:00 +0800,1922.31,1660.61,1802.72,1955.26
2013-11-11 02:55:00 +0800,1946.59,1689.64,1814.92,1966.86
2013-11-11 03:55:00 +0800,1970.49,1703.86,1862.77,2002.55
2013-11-11 04:55:00 +0800,1975.19,1719.14,1833.12,1985.06
2013-11-11 05:55:00 +0800,2021.36,1806.43,1924.99,2049.15
2013-11-11 06:55:00 +0800,2050.53,1843.72,1942.56,2083.7
2013-11-11 07:55:00 +0800,2064.25,1838.17,1962.65,2102.03
2013-11-11 08:55:00 +0800,2016.91,1812.37,1977.66,2110.95
2013-11-11 09:55:00 +0800,2010.58,1781.65,1923.31,2057.44
2013-11-11 10:55:00 +0800,1993.39,1791.75,1916.77,2069.56
2013-11-11 11:55:00 +0800,1976.21,1782.8,1897.47,2075.02
2013-11-11 12:55:00 +0800,2037.06,1849.77,1951.33,2104.62
2013-11-11 13:55:00 +0800,2081.04,1864.22,1945.96,2117.23
2013-11-11 14:55:00 +0800,2063.11,1870.54,1982.8,2120.01
2013-11-11 15:55:00 +0800,2090.63,1900.05,1973.17,2111.56
2013-11-11 16:55:00 +0800,2115.76,1893.07,1997.59,2125.76
2013-11-11 17:55:00 +0800,2096.77,1900.5,2009.8,2129.17
